Robot,Distance [m],Levels,Cargo [kg],Elevation [m],Battery Level,Time of Day [h],Battery Error,Energy [kJ]
R2,297.8,4,2.4,16,0.1276824719055204,12.96,0,16.47798
R2,98.43,4,3.44,16,0.26137888524563735,17.73,0,3.59458
R1,181.46,2,0.0,8,0.6888711393056253,21.59,0,4.92792
R2,231.47,3,1.35,12,0.5117476317293287,1.39,0,5.39997
R1,137.28,3,2.49,12,0.647041575149605,18.6,0,4.61436
R2,219.74,5,2.78,20,0.7666351688701344,2.78,0,6.67735
R2,266.77,2,1.72,8,0.33540783691448994,17.23,0,6.33873
R2,125.37,3,3.59,12,0.43218729903901376,11.16,0,7.60276
R1,194.45,4,7.57,16,0.7377220698486782,10.2,0,16.69687
R1,78.15,3,5.75,12,0.4189897233711949,4.83,0,3.38506
R1,156.51,3,0.0,12,0.9516249435362575,21.75,0,4.62724
R2,143.2,2,0.0,8,0.6971298941746316,21.36,0,2.79082
R1,185.38,3,2.43,12,0.7749261288637428,3.13,0,5.76631
R1,205.86,3,3.15,12,0.9939126765608984,13.75,0,15.80071
R2,226.85,2,1.14,8,0.9362387293858074,1.38,0,5.01576
R1,149.6,2,4.46,8,0.6820296253701934,4.79,0,4.99767
R2,275.33,3,1.52,12,0.7528703961158787,3.82,0,6.69314
R2,82.5,4,0.0,16,0.47585588385551514,2.42,0,2.15433
R1,76.8,3,6.71,12,0.8616201073698289,18.28,0,3.34227
R1,364.19,2,4.05,8,0.7397790209444145,10.12,0,28.00319
R2,122.9,3,4.99,12,0.9026861104169764,5.45,0,4.92736
R2,307.11,2,3.88,8,0.7059008484042735,7.04,0,9.69435
R1,377.01,4,2.09,16,0.8222367450285206,16.84,0,28.05105
R1,198.42,2,2.81,8,0.4789014985987885,23.78,0,6.04196
R1,229.18,3,0.0,12,0.4473100148379249,0.64,0,6.44683
R1,223.82,2,2.66,8,0.7047825125324176,14.5,0,17.00634
R2,106.64,2,2.85,8,0.8565761051019061,17.99,0,3.25763
R1,142.1,1,5.08,4,0.8707394744598878,5.36,0,4.7104
R2,280.66,1,1.66,4,0.7872157106248128,20.79,0,6.50861
R2,428.78,3,1.78,12,0.6910019725169976,5.48,0,10.40401
R1,85.78,3,2.93,12,0.23216677290981103,15.12,0,6.88747
R1,231.71,3,2.33,12,0.7489567910684001,15.43,0,17.64161
R2,192.34,3,0.0,12,0.7190243239346079,20.02,0,3.69107
R2,188.11,3,0.45,12,0.4262079202597646,2.51,0,3.91208
R2,122.6,2,1.85,8,0.31490119602500277,14.53,0,6.44285
R2,273.15,4,7.2,16,0.6278562202148267,22.0,0,12.35097
R2,79.13,2,0.84,8,0.8468534302381365,22.09,0,1.85153
R2,213.64,2,1.12,8,0.7674096157066975,3.92,0,4.76643
R1,103.25,3,4.46,12,0.669694240524572,20.67,0,3.94276
R1,232.01,4,4.18,16,0.6997955736413295,18.57,0,7.8857
R2,239.71,3,5.28,12,0.6195365255592185,7.62,0,9.08593
R2,111.44,1,1.33,4,0.6475601436730833,16.06,0,5.7528
R1,164.54,3,2.43,12,0.7867175721828439,22.38,0,5.37851
R1,244.76,3,2.64,12,0.3328587990796089,4.44,0,7.72702
R2,284.16,5,5.66,20,0.37075010571711176,1.06,0,11.12774
R2,71.54,5,3.36,20,0.5789516563745318,12.14,0,4.85303
R2,209.24,3,0.0,12,0.67225163544877,13.16,0,9.76465
R1,132.66,3,2.15,12,0.4531042117270463,4.01,0,4.39733
R2,433.14,4,0.0,16,0.8875782011819418,14.69,0,20.0233
R2,105.29,3,3.57,12,0.8673747843628625,9.29,0,6.52946
R1,150.85,3,4.2,12,0.8431456591498886,10.57,0,12.21551
R1,332.97,3,5.44,12,0.3262948818901702,0.72,0,11.39017
R2,161.25,4,2.55,16,0.15577287745560364,15.32,0,9.42234
